+--------------------------------+-------------------+
| data/lfw_outer_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 4625/6715 (0.688) |
| Recognized:                    | 1274/4625 (0.275) |
| Total confidence:              | 437.0             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_outer_aligned_gauss100 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 4392/6715 (0.654) |
| Recognized:                        | 1168/4392 (0.265) |
| Total confidence:                  | 353.8             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+------------------------------------+---------------------------+----------------+----------------+
| FILE                               | NEW TARGET                | NEW CONFIDENCE | OLD CONFIDENCE |
+------------------------------------+---------------------------+----------------+----------------+
| Pervez_Musharraf_0018.png          | Eduard_Shevardnadze       | 1.0            | 1.0            |
| Jack_Straw_0011.png                | George_W_Bush             | 1.0            | 1.0            |
| Frank_Solich_0002.png              | Jean_Charest              | 1.0            | 1.0            |
| David_Beckham_0007.png             | Tony_Blair                | 0.016          | 1.0            |
| Megawati_Sukarnoputri_0031.png     | Jackie_Chan               | 1.0            | 1.0            |
| John_Negroponte_0015.png           | Tony_Blair                | 0.016          | 0.291          |
| Arnold_Schwarzenegger_0042.png     | Tony_Blair                | 0.016          | 1.0            |
| Laura_Bush_0016.png                | Tony_Blair                | 0.016          | 1.0            |
| Vicente_Fox_0026.png               | George_W_Bush             | 0.081          | 1.0            |
| Colin_Powell_0058.png              | Hans_Blix                 | 1.0            | 1.0            |
| Donald_Rumsfeld_0031.png           | Jacques_Chirac            | 1.0            | 1.0            |
| Hu_Jintao_0002.png                 | Tony_Blair                | 0.016          | 0.555          |
| Arnold_Schwarzenegger_0010.png     | Wen_Jiabao                | 1.0            | 1.0            |
| Tony_Blair_0119.png                | Sergei_Ivanov             | 1.0            | 1.0            |
| George_W_Bush_0027.png             | Paul_Bremer               | 1.0            | 1.0            |
| George_W_Bush_0426.png             | Guillermo_Coria           | 0.046          | 1.0            |
| Gregg_Popovich_0001.png            | Michael_Douglas           | 0.041          | 1.0            |
| Joschka_Fischer_0018.png           | Gerhard_Schroeder         | 0.25           | 1.0            |
| Igor_Ivanov_0013.png               | Paul_Burrell              | 1.0            | 1.0            |
| Dale_Earnhardt_Jr_0004.png         | Tim_Henman                | 1.0            | 1.0            |
| Jacques_Chirac_0013.png            | George_W_Bush             | 0.081          | 1.0            |
| Roh_Moo-hyun_0027.png              | Tony_Blair                | 0.016          | 1.0            |
| Lleyton_Hewitt_0031.png            | Keanu_Reeves              | 0.75           | 1.0            |
