+--------------------------------+-------------------+
| data/lfw_inner_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 5425/6715 (0.807) |
| Recognized:                    | 3503/5425 (0.645) |
| Total confidence:              | 698.2             |
+--------------------------------+-------------------+
+-----------------------------------+-------------------+
| lfw_inner_aligned_gauss16 metrics | Value             |
+-----------------------------------+-------------------+
| Total faces:                      | 6715              |
| Detected:                         | 5409/6715 (0.805) |
| Recognized:                       | 3618/5409 (0.668) |
| Total confidence:                 | 677.6             |
+-----------------------------------+-------------------+


COMPARING.

Disguised:
+---------------------------------------+---------------------------+----------------+------------------------------+----------------+
| FILE                                  | NEW TARGET                | NEW CONFIDENCE | OLD TARGET                   | OLD CONFIDENCE |
+---------------------------------------+---------------------------+----------------+------------------------------+----------------+
| Javier_Solana_0001.png                | Mahmoud_Abbas             | 0.027          | Javier_Solana                | 0.021          |
| Sergey_Lavrov_0002.png                | Gerhard_Schroeder         | 0.068          | Sergey_Lavrov                | 0.025          |
| Yoriko_Kawaguchi_0009.png             | Gloria_Macapagal_Arroyo   | 0.044          | Yoriko_Kawaguchi             | 0.038          |
| Jean_Charest_0007.png                 | George_W_Bush             | 0.063          | Jean_Charest                 | 0.056          |
| Jennifer_Lopez_0011.png               | Jennifer_Capriati         | 0.022          | Jennifer_Lopez               | 0.040          |
| Mike_Myers_0004.png                   | George_W_Bush             | 0.022          | Mike_Myers                   | 0.023          |
| Rick_Perry_0004.png                   | Paul_Bremer               | 0.019          | Rick_Perry                   | 0.018          |
| Paul_Burrell_0009.png                 | Gerhard_Schroeder         | 0.030          | Paul_Burrell                 | 0.022          |
| Richard_Myers_0015.png                | George_W_Bush             | 0.051          | Richard_Myers                | 0.038          |
| Wen_Jiabao_0001.png                   | Hans_Blix                 | 0.016          | Wen_Jiabao                   | 0.016          |
| Tariq_Aziz_0002.png                   | Hans_Blix                 | 0.022          | Tariq_Aziz                   | 0.013          |
| Madonna_0003.png                      | Kate_Hudson               | 0.016          | Madonna                      | 0.014          |
| Naomi_Watts_0008.png                  | Julianne_Moore            | 0.042          | Naomi_Watts                  | 0.062          |
| Bulent_Ecevit_0003.png                | Nestor_Kirchner           | 0.017          | Bulent_Ecevit                | 0.015          |
| Igor_Ivanov_0019.png                  | Recep_Tayyip_Erdogan      | 0.023          | Igor_Ivanov                  | 0.059          |
| Sergey_Lavrov_0007.png                | Mohammed_Al-Douri         | 0.026          | Sergey_Lavrov                | 0.031          |
| Amanda_Bynes_0002.png                 | Norah_Jones               | 0.015          | Amanda_Bynes                 | 0.013          |
| Lleyton_Hewitt_0011.png               | Tony_Blair                | 0.033          | Lleyton_Hewitt               | 0.056          |
| Carmen_Electra_0003.png               | Catherine_Zeta-Jones      | 0.017          | Carmen_Electra               | 0.017          |
| Britney_Spears_0011.png               | Jennifer_Garner           | 0.019          | Britney_Spears               | 0.022          |
| Dennis_Kucinich_0004.png              | George_W_Bush             | 0.025          | Dennis_Kucinich              | 0.016          |
| Hu_Jintao_0008.png                    | Megawati_Sukarnoputri     | 0.045          | Hu_Jintao                    | 0.034          |
| Liza_Minnelli_0001.png                | Jennifer_Capriati         | 0.019          | Liza_Minnelli                | 0.016          |
| Jeb_Bush_0009.png                     | George_W_Bush             | 0.026          | Jeb_Bush                     | 0.024          |
| John_Abizaid_0009.png                 | Andre_Agassi              | 0.024          | John_Abizaid                 | 0.029          |
| Joe_Torre_0001.png                    | Alvaro_Uribe              | 0.018          | Joe_Torre                    | 0.012          |
| Richard_Myers_0005.png                | Tom_Daschle               | 0.040          | Richard_Myers                | 0.051          |
| Dennis_Kucinich_0007.png              | Gerhard_Schroeder         | 0.017          | Dennis_Kucinich              | 0.016          |
| Luis_Ernesto_Derbez_Bautista_0002.png | George_W_Bush             | 0.022          | Luis_Ernesto_Derbez_Bautista | 0.020          |
| Kim_Clijsters_0010.png                | Jennifer_Capriati         | 0.035          | Kim_Clijsters                | 0.034          |
| Lleyton_Hewitt_0015.png               | Carlos_Moya               | 0.018          | Lleyton_Hewitt               | 0.050          |
| Spencer_Abraham_0001.png              | Alvaro_Uribe              | 0.042          | Spencer_Abraham              | 0.043          |
| Tommy_Thompson_0002.png               | Carlos_Menem              | 0.027          | Tommy_Thompson               | 0.032          |
| Jack_Straw_0003.png                   | George_W_Bush             | 0.055          | Jack_Straw                   | 0.039          |
| Dick_Cheney_0012.png                  | Hans_Blix                 | 0.028          | Dick_Cheney                  | 0.016          |
| Richard_Myers_0016.png                | George_W_Bush             | 0.035          | Richard_Myers                | 0.050          |
| Clare_Short_0001.png                  | George_Robertson          | 0.012          | Clare_Short                  | 0.012          |
| Victoria_Clarke_0003.png              | Michael_Schumacher        | 0.016          | Victoria_Clarke              | 0.014          |
| Matthew_Broderick_0002.png            | Alvaro_Uribe              | 0.016          | Matthew_Broderick            | 0.015          |
| Gerhard_Schroeder_0107.png            | George_W_Bush             | 0.048          | Gerhard_Schroeder            | 0.143          |
| Adrien_Brody_0002.png                 | Alvaro_Uribe              | 0.025          | Adrien_Brody                 | 0.028          |
| John_McCain_0006.png                  | George_W_Bush             | 0.032          | John_McCain                  | 0.019          |
| Tommy_Franks_0011.png                 | Tony_Blair                | 0.041          | Tommy_Franks                 | 0.067          |
| Vladimir_Putin_0027.png               | Tony_Blair                | 0.025          | Vladimir_Putin               | 0.045          |
| Jan_Ullrich_0005.png                  | George_W_Bush             | 0.014          | Jan_Ullrich                  | 0.020          |
| Bill_McBride_0002.png                 | George_W_Bush             | 0.037          | Bill_McBride                 | 0.043          |
| Jan_Ullrich_0004.png                  | Tim_Henman                | 0.021          | Jan_Ullrich                  | 0.024          |
| Juan_Carlos_Ferrero_0025.png          | Amelie_Mauresmo           | 0.020          | Juan_Carlos_Ferrero          | 0.025          |
| Richard_Gere_0004.png                 | Colin_Powell              | 0.034          | Richard_Gere                 | 0.035          |
| Amanda_Bynes_0001.png                 | Winona_Ryder              | 0.015          | Amanda_Bynes                 | 0.014          |
| Pervez_Musharraf_0013.png             | Ariel_Sharon              | 0.064          | Pervez_Musharraf             | 0.030          |
| Ralf_Schumacher_0006.png              | Michael_Schumacher        | 0.029          | Ralf_Schumacher              | 0.028          |
| Elton_John_0004.png                   | Li_Peng                   | 0.014          | Elton_John                   | 0.016          |
| Roy_Moore_0005.png                    | Michael_Schumacher        | 0.018          | Roy_Moore                    | 0.017          |
