+--------------------------------+-------------------+
| data/lfw_inner_aligned metrics | Value             |
+--------------------------------+-------------------+
| Total faces:                   | 6715              |
| Detected:                      | 5425/6715 (0.807) |
| Recognized:                    | 4609/5425 (0.849) |
| Total confidence:              | 684.3             |
+--------------------------------+-------------------+
+------------------------------------+-------------------+
| lfw_inner_aligned_gauss500 metrics | Value             |
+------------------------------------+-------------------+
| Total faces:                       | 6715              |
| Detected:                          | 3104/6715 (0.462) |
| Recognized:                        | 2112/3104 (0.680) |
| Total confidence:                  | 328.5             |
+------------------------------------+-------------------+


COMPARING.

Disguised:
+------------------------------------------+---------------------------+----------------+---------------------------------+----------------+
| FILE                                     | NEW TARGET                | NEW CONFIDENCE | OLD TARGET                      | OLD CONFIDENCE |
+------------------------------------------+---------------------------+----------------+---------------------------------+----------------+
| Roh_Moo-hyun_0004.png                    | Junichiro_Koizumi         | 0.031          | Roh_Moo-hyun                    | 0.068          |
| Joe_Lieberman_0006.png                   | Bill_Clinton              | 0.037          | Joe_Lieberman                   | 0.045          |
| Justine_Pasek_0003.png                   | Jennifer_Capriati         | 0.021          | Justine_Pasek                   | 0.026          |
| Edward_Lu_0003.png                       | Junichiro_Koizumi         | 0.025          | Edward_Lu                       | 0.018          |
| Salma_Hayek_0013.png                     | Laura_Bush                | 0.009          | Salma_Hayek                     | 0.031          |
| Emma_Watson_0003.png                     | Laura_Bush                | 0.011          | Emma_Watson                     | 0.017          |
| Mireya_Moscoso_0003.png                  | Laura_Bush                | 0.018          | Mireya_Moscoso                  | 0.024          |
| Muhammad_Ali_0006.png                    | Tony_Blair                | 0.022          | Muhammad_Ali                    | 0.029          |
| Al_Gore_0006.png                         | Tony_Blair                | 0.019          | Al_Gore                         | 0.030          |
| Barbara_Walters_0001.png                 | Nancy_Pelosi              | 0.022          | Barbara_Walters                 | 0.019          |
| Carson_Palmer_0001.png                   | Gerhard_Schroeder         | 0.033          | Carson_Palmer                   | 0.025          |
| Mike_Myers_0004.png                      | George_W_Bush             | 0.323          | Mike_Myers                      | 0.042          |
| Jon_Gruden_0007.png                      | Tony_Blair                | 0.029          | Jon_Gruden                      | 0.027          |
| Wen_Jiabao_0009.png                      | Tom_Crean                 | 0.010          | Wen_Jiabao                      | 0.021          |
| Rainer_Schuettler_0002.png               | Tom_Daschle               | 0.042          | Rainer_Schuettler               | 0.030          |
| Nicolas_Cage_0003.png                    | Gerhard_Schroeder         | 0.020          | Nicolas_Cage                    | 0.014          |
| Rick_Perry_0004.png                      | Tony_Blair                | 0.019          | Rick_Perry                      | 0.028          |
| Vladimir_Putin_0014.png                  | Silvio_Berlusconi         | 0.053          | Vladimir_Putin                  | 0.034          |
| Keanu_Reeves_0003.png                    | Tony_Blair                | 0.023          | Keanu_Reeves                    | 0.045          |
| Queen_Elizabeth_II_0010.png              | Hugo_Chavez               | 0.040          | Queen_Elizabeth_II              | 0.028          |
| Thomas_OBrien_0005.png                   | George_W_Bush             | 0.025          | Thomas_OBrien                   | 0.019          |
| Hu_Jintao_0002.png                       | Wen_Jiabao                | 0.020          | Hu_Jintao                       | 0.034          |
| Ray_Romano_0009.png                      | George_W_Bush             | 0.118          | Ray_Romano                      | 0.014          |
| David_Beckham_0015.png                   | George_W_Bush             | 0.078          | David_Beckham                   | 0.081          |
| Silvio_Berlusconi_0033.png               | Donald_Rumsfeld           | 0.120          | Silvio_Berlusconi               | 0.074          |
| Angelina_Jolie_0016.png                  | Jennifer_Capriati         | 0.011          | Angelina_Jolie                  | 0.049          |
| Naomi_Watts_0020.png                     | George_W_Bush             | 0.013          | Naomi_Watts                     | 0.043          |
| Cesar_Gaviria_0006.png                   | Trent_Lott                | 0.019          | Cesar_Gaviria                   | 0.027          |
| Joschka_Fischer_0010.png                 | Gerhard_Schroeder         | 0.041          | Joschka_Fischer                 | 0.048          |
| Scott_Peterson_0005.png                  | Tony_Blair                | 0.032          | Scott_Peterson                  | 0.021          |
| Candie_Kung_0002.png                     | Junichiro_Koizumi         | 0.017          | Candie_Kung                     | 0.018          |
| Albert_Costa_0006.png                    | Silvio_Berlusconi         | 0.013          | Albert_Costa                    | 0.023          |
